Klagenummer,AZ VG,Eingang,Land,Vertretung,Klagegrund,Zusatz,Datum VG,OVG Geschäftszeichen,Datum OVG,PKH Geschäftszeichen,Datum PKH,BVerwG Geschäftszeichen,Datum BVerwG
46868,VG 36 L 0561.17 V,6/27/2017,Philippinen,Manila,BES,,7/24/2017,,,,,,
46867,VG 16 K 0491.17 V,6/27/2017,Ukraine,Kiew,FZ-F,§ 36 II,3/7/2018,,,,,,
46866,VG 28 K 0361.17 V,6/27/2017,Kosovo,Pristina,EWT,"§ 26 II BV, UT",6/6/2018,,,,,,
46865,VG 28 K 0360.17 V,6/27/2017,Kosovo,Pristina,EWT,§ 26 II BV,6/6/2018,,,,,,
46864,VG 29 K 0568.17 V,6/27/2017,Vietnam,Ho-Chi-Minh-Stadt,SPR,,3/20/2018,,,,,,
46863,VG 27 K 0413.17 V,6/27/2017,Libanon,Beirut,FZ-E/K,,6/30/2020,OVG 03 N 113/20,2/2/2021,OVG 03 M 107.19,4/29/2020,,
46862,VG 27 K 0414.17 V,6/27/2017,Pakistan,Islamabad,BES,,11/16/2017,,,,,,
46861,VG 26 K 0709.17 V,6/27/2017,Irak,Ankara,FZ-F,§ 36 II,1/16/2018,,,,,,
46860,VG 26 K 0701.17 V,6/27/2017,Syrien,Istanbul,FZ-E,,8/15/2018,OVG 03 B 007.19,,,,,
46860,VG 26 K 0701.17 V,6/27/2017,Syrien,Istanbul,FZ-E,,8/15/2018,OVG 03 N 283.18,3/4/2019,,,,
46859,VG 26 K 0707.17 V,6/27/2017,Pakistan,Islamabad,FZ-K,LU,4/25/2018,,,,,,
46858,VG 18 K 0377.17 V,6/26/2017,Marokko,Rabat,FZ-E,,7/18/2018,,,,,,
46857,VG 18 K 0379.17 V,6/26/2017,Irak,Bagdad,BES,VIK,7/10/2018,,,,,,
46856,VG 18 K 0378.17 V,6/26/2017,Ägypten,Kairo,BES,,1/31/2018,,,,,,
46855,VG 13 K 0337.17 V,6/26/2017,Kirgisistan,Bischkek,BES,,3/1/2018,,,,,,
46854,VG 27 K 0409.17 V,6/26/2017,Nigeria,Lagos,STU,,11/7/2017,,,,,,
46853,VG 27 K 0415.17 V,6/26/2017,Russland,Nowosibirsk,BES,,5/29/2018,,,,,,
46852,VG 27 K 0410.17 V,6/26/2017,Pakistan,Islamabad,FZ-F,Eheschl,10/12/2017,,,,,,
46851,VG 26 K 0702.17 V,6/26/2017,Russland,St. Petersburg,SON,,8/3/2017,,,,,,
46850,VG 26 K 0706.17 V,6/26/2017,Usbekistan,Taschkent,BES,,,,,,,,
46849,VG 13 K 0330.17 V,6/26/2017,Tadschikistan,Duschanbe,SON,"Eheschl, SE",4/19/2018,OVG 02 M 006.18,,,,,
46848,VG 26 K 0704.17 V,6/26/2017,Marokko,Rabat,BES,,7/3/2017,,,,,,
46847,VG 26 K 0708.17 V,6/26/2017,Ägypten,Kairo,EWT,,2/21/2018,,,,,,
46846,VG 26 K 0705.17 V,6/26/2017,Afghanistan,Kabul,BES,,7/20/2017,,,,,,
46845,VG 16 K 0833.17 V,6/23/2017,Iran,Bangalore,SPR,,11/19/2017,,,,,,
46844,VG 16 L 0832.17 V,6/23/2017,Iran,Bangalore,SPR,,10/27/2017,,,,,,
46843,VG 26 K 0703.17 V,6/23/2017,Pakistan,Islamabad,FZ-E/K,,5/28/2018,,,,,,
46843,VG 26 K 0703.17 V,6/23/2017,Pakistan,Islamabad,FZ-E/K,,5/28/2018,,,,,,
46842,VG 19 K 0476.17 V,6/23/2017,Irak,Ankara,FZ-F,§ 36 II,10/20/2017,,,,,,
46841,VG 19 K 0480.17 V,6/23/2017,Jemen,Amman,BES,,7/19/2017,,,,,,
46840,VG 19 K 0482.17 V,6/23/2017,Syrien,Beirut,FZ-E/K,,9/4/2018,,,,,,
46838,VG 22 K 0572.17 V,6/23/2017,China,Kanton,BES,,2/21/2018,,,,,,
46837,VG 23 K 0549.17 V,6/23/2017,Philippinen,Manila,BES,,8/15/2017,,,,,,
46836,VG 23 K 0544.17 V,6/23/2017,Albanien,Tirana,FZ-E,SE; Ausw.,8/30/2017,,,,,,
46835,VG 23 K 0542.17 V,6/23/2017,Kosovo,Pristina,FZ-E,,3/15/2018,,,,,,
46834,VG 23 K 0540.17 V,6/23/2017,Kosovo,Pristina,FZ-F,"SE, UT",12/20/2017,,,,,,
46833,VG 23 K 0539.17 V,6/23/2017,Syrien,Beirut,FZ-F,,7/8/2019,,,,,,
41936,VG 19 K 0481.17 V,6/23/2017,Eritrea,Khartoum,BES,,6/26/2018,,,,,,
46832,VG 28 L 0368.17 V,6/22/2017,Afghanistan,New Delhi,FZ-F,§ 36 I,8/10/2017,,,,,,
46831,VG 21 K 0602.17 V,6/22/2017,Türkei,Istanbul,BES,GES,2/28/2018,,,,,,
46830,VG 21 L 0601.17 V,6/22/2017,Türkei,Istanbul,BES,,11/15/2017,,,,,,
46829,VG 19 K 0483.17 V,6/22/2017,Syrien,Abu Dhabi,FZ-K,SorgeR,7/27/2018,,,,,,
46828,VG 08 K 0244.17 V,6/22/2017,Syrien,Dubai,FZ-E,,4/17/2018,,,,,,
46827,VG 08 K 0246.17 V,6/22/2017,Kasachstan,Nur-Sultan,FZ-E,,4/6/2018,,,,,,
46827,VG 08 K 0246.17 V,6/22/2017,Kasachstan,Nur-Sultan,FZ-E,,4/6/2018,,,,,,
46826,VG 08 K 0243.17 V,6/22/2017,Kosovo,Pristina,EWT,§ 26 II BV,11/6/2017,,,,,,
46825,VG 08 K 0245.17 V,6/22/2017,Syrien,Riad,EWT,,12/19/2017,,,,,,
46824,VG 08 K 0247.17 V,6/22/2017,Sri Lanka,Colombo,BES,,10/19/2018,,,,,,
46823,VG 08 K 0249.17 V,6/22/2017,Pakistan,Islamabad,BES,,1/25/2018,,,,,,
46822,VG 24 L 1049.17 V,6/22/2017,Staatenlos,Beirut,FZ-F,,7/14/2017,,,,,,
46821,VG 23 K 0551/17 V,6/21/2017,Nigeria,Lagos,FZ-F,VIK,10/8/2019,OVG 03 B 027/22,,,,,
46820,VG 19 K 0486.17 V,6/21/2017,Türkei,Istanbul,BES,VIK,11/15/2017,,,,,,
46819,VG 23 K 0541.17 V,6/21/2017,Kosovo,Pristina,FZ-E,,3/15/2018,,,,,,
46818,VG 22 K 0578.17 V,6/21/2017,Türkei,Izmir,BES,,10/12/2018,,,,,,
46817,VG 19 K 0478.17 V,6/21/2017,Marokko,Rabat,BES,,4/5/2018,,,,,,
46816,VG 22 K 0581.17 V,6/21/2017,Vietnam,Hanoi,BES,,11/20/2017,,,,,,
46815,VG 13 K 0343.17 V,6/20/2017,Russland,Nowosibirsk,FZ-F,§ 36 II,4/12/2018,,,,,,
46814,VG 13 K 0344.17 V,6/20/2017,Albanien,Tirana,EWT,§ 26 II BV,,,,,,,
46813,VG 14 K 0637.17 V,6/20/2017,Russland,Moskau,BES,,11/8/2017,,,,,,
46812,VG 14 K 0638.17 V,6/20/2017,Armenien,Eriwan,FZ-F,§ 36 II,1/10/2020,OVG 02 N 019/20,3/18/2020,,,,
46811,VG 14 K 0642.17 V,6/20/2017,Côte d’Ivoire,Abidjan,FZ-E,Eheschl,5/29/2018,,,,,,
46810,VG 15 K 0420.17 V,6/20/2017,Russland,Moskau,BES,,1/23/2018,,,,,,
46809,VG 18 K 0389.17 V,6/20/2017,Irak,Ankara,FZ-F,§ 36 II,5/28/2018,,,,,,
46808,VG 23 K 0548.17 V,6/20/2017,Syrien,Riad,EWT,,12/14/2017,,,,,,
46807,VG 23 K 0552.17 V,6/20/2017,Algerien,Algier,BES,,6/20/2017,,,,,,
46806,VG 14 K 0641.17 V,6/20/2017,Kosovo,Pristina,FZ-E,SE,10/11/2017,,,,,,
46805,VG 22 K 0579.17 V,6/20/2017,Vietnam,Hanoi,FZ-K,§ 36 II,6/4/2019,,,,,,
46804,VG 23 K 0543.17 V,6/20/2017,Kamerun,Jaunde,EWT,,9/14/2017,,,,,,
46803,VG 15 K 0421.17 V,6/20/2017,Dominikanische Republik,Santo Domingo,BES,,10/2/2017,,,,,,
46802,VG 15 K 0423.17 V,6/20/2017,Ägypten,Kairo,STU,,6/17/2019,,,,,,
46801,VG 15 K 0425.17 V,6/20/2017,Ägypten,Kairo,STU,,10/26/2017,,,,,,
46800,VG 16 K 0858.17 V,6/20/2017,Syrien,Beirut,FZ-E,TER,8/30/2017,,,,,,
46799,VG 21 K 0603.17 V,6/19/2017,Nigeria,Lagos,BES,,2/15/2018,,,,,,
46798,VG 21 K 0595.17 V,6/19/2017,Kosovo,Pristina,BES,,6/22/2017,,,,,,
46797,VG 21 K 0599.17 V,6/19/2017,Syrien,Kairo,FZ-E/K,,9/28/2018,OVG 03 B 018/20,12/1/2020,,,,
46796,VG 21 K 0596.17 V,6/19/2017,Marokko,Rabat,FZ-E,Ausw,3/19/2018,,,,,,
46795,VG 13 K 0334.17 V,6/19/2017,Jordanien,Amman,FZ-F,,7/4/2018,,,,,,
46794,VG 14 K 0640.17 V,6/19/2017,Iran,Tokyo,SPR,,7/20/2017,,,,,,
46793,VG 18 K 0380.17 V,6/19/2017,Thailand,Bangkok,BES,,6/22/2017,,,,,,
46792,VG 18 K 0376.17 V,6/19/2017,Vietnam,Ho-Chi-Minh-Stadt,BES,,6/26/2017,,,,,,
46791,VG 15 K 0419.17 V,6/19/2017,Pakistan,Islamabad,BES,,11/15/2017,,,,,,
46790,VG 18 K 0384.17 V,6/19/2017,Libanon,Beirut,FZ-E/K,,4/3/2019,,,,,,
46789,VG 21 K 0598.17 V,6/19/2017,Indien,New Delhi,FZ-E,,2/12/2018,OVG 12 N 055.18,5/3/2018,,,,
46788,VG 21 K 0597.17 V,6/19/2017,Türkei,Ankara,WDK,,5/17/2018,,,,,,
46787,VG 08 K 0248.17 V,6/19/2017,Syrien,Abu Dhabi,FZ-E,,10/19/2018,,,,,,
46786,VG 16 K 0483.17 V,6/19/2017,Philippinen,Manila,FZ-E,SE,7/20/2017,,,,,,
46785,VG 13 K 0325.17 V,6/19/2017,Eritrea,Khartoum,FZ-K,,9/25/2018,,,,,,
46784,VG 04 L 0295.16 V,6/16/2017,Irak,Ankara,FZ-F,§ 36 II,9/20/2017,,,,,,
46784,VG 04 L 0295.16 V,6/16/2017,Irak,Ankara,FZ-F,§ 36 II,9/20/2017,,,,,,
46783,VG 04 K 0296.16 V,6/16/2017,Irak,Ankara,FZ-E/K,,7/10/2017,,,,,,
46782,VG 14 K 0639.17 V,6/16/2017,Syrien,Beirut,FZ-E,,3/2/2018,,,,,,
46781,VG 08 K 0251.17 V,6/16/2017,Russland,Nowosibirsk,FZ-K,LU,1/4/2018,,,,,,
46780,VG 08 K 0253.17 V,6/16/2017,Mongolei,Ulan Bator,STU,,11/29/2017,,,,,,
46779,VG 15 K 0415.17 V,6/16/2017,Iran,Teheran,FZ-E,,9/25/2017,,,,,,
46778,VG 18 K 0381.17 V,6/16/2017,Tunesien,Tunis,EWT,,11/30/2017,,,,,,
46777,VG 18 K 0373.17 V,6/16/2017,Marokko,Rabat,BES,,11/2/2017,,,,,,
46776,VG 16 K 0827.17 V,6/16/2017,Sudan,Riad,BES,,4/11/2018,,,,,,
46775,VG 21 K 0600.17 V,6/16/2017,Bangladesch,Dhaka,BES,,6/26/2017,,,,,,
46774,VG 22 L 0580.17 V,6/16/2017,Syrien,Beirut,FZ-F,§ 36 I,8/2/2017,,,,,,
46773,VG 22 K 0575.17 V,6/15/2017,Türkei,Istanbul,BES,GES,5/15/2018,,,,,,
46772,VG 22 L 0574.17 V,6/15/2017,Türkei,Istanbul,BES,,11/17/2017,,,,,,
46771,VG 22 L 0573.17 V,6/15/2017,Syrien,Istanbul,FZ-F,SUB,7/14/2017,,,,,,
46770,VG 22 K 0577.17 V,6/15/2017,Türkei,Istanbul,BES,GES,3/8/2018,,,,,,
46769,VG 22 L 0576.17 V,6/15/2017,Türkei,Istanbul,BES,,11/17/2017,,,,,,
46768,VG 21 K 0594.17 V,6/15/2017,Algerien,Algier,BES,,12/13/2017,,,,,,
46767,VG 30 K 0177.17 V,6/15/2017,Syrien,Beirut,BES,,1/10/2018,,,,,,
46766,VG 30 K 0178.17 V,6/15/2017,Ägypten,Kairo,SPR,,1/23/2018,,,,,,
46765,VG 13 K 0340.17 V,6/15/2017,Vietnam,Ho-Chi-Minh-Stadt,BES,,6/30/2017,,,,,,
46764,VG 13 K 0336.17 V,6/15/2017,Indien,New Delhi,BES,,9/27/2018,,,,,,
46763,VG 13 K 0341/17 V,6/15/2017,Somalia,Kairo,FZ-F,"§ 36 II, NZ Schutzb.",2/26/2019,OVG 03 B 023/19,,,,,
46762,VG 14 K 0630.17 V,6/15/2017,Indien,New Delhi,FZ-E,Dt,6/29/2018,,,,,,
46761,VG 19 L 0485.17 V,6/13/2017,Türkei,Ankara,FZ-E,,7/31/2017,,,,,,
46760,VG 19 L 0484.17 V,6/13/2017,Syrien,Beirut,FZ-E/K,,7/5/2017,,,,,,
46759,VG 14 K 0629.17 V,6/13/2017,Albanien,Tirana,EWT,§ 26 II BV,12/5/2017,,,,,,
46758,VG 12 K 0197.17 V,6/13/2017,Sri Lanka,Colombo,BES,,6/27/2018,,,,,,
46757,VG 12 K 0093.19 V,6/13/2017,Türkei,Ankara,FZ-E,EU,6/18/2018,,,,,,
46757,VG 12 K 0093.19 V,6/13/2017,Türkei,Ankara,FZ-E,EU,4/23/2019,,,,,,
46756,VG 12 K 0198.17 V,6/13/2017,China,Chengdu,EWT,,12/4/2017,,,,,,
46755,VG 17 L 0477.17 V,6/12/2017,Syrien,Istanbul,FZ-F,§ 36 I FZ-K,6/19/2017,,,,,,
46754,VG 06 K 0462.17 V,6/12/2017,Kirgisistan,Bischkek,BES,,1/15/2018,,,,,,
46753,VG 15 K 0422.17 V,6/12/2017,Ägypten,Kairo,STU,,10/26/2017,,,,,,
46752,VG 15 K 0429.17 V,6/12/2017,Ägypten,Kairo,FZ-E,SE,7/2/2018,,,,,,
46751,VG 15 K 0424.17 V,6/12/2017,Ägypten,Kairo,STU,,3/19/2018,,,,,,
46750,VG 13 L 0338.17 V,6/12/2017,Marokko,Rabat,FZ-F,,9/4/2017,,,,,,
46749,VG 14 K 0633.17 V,6/12/2017,Türkei,Ankara,FZ-E,SE,7/7/2017,,,,,,
46748,VG 06 K 0465.17 V,6/12/2017,Marokko,Rabat,BES,,12/19/2017,,,,,,
46747,VG 06 K 0466.17 V,6/12/2017,Kasachstan,Nur-Sultan,BES,,1/19/2018,,,,,,
46746,VG 27 K 0330.17 V,6/12/2017,Nigeria,Lagos,WDK,,1/26/2018,,,,,,
46745,VG 06 K 0459.17 V,6/9/2017,Ägypten,Kairo,BES,,11/10/2017,,,,,,
46744,VG 30 K 0174.17 V,6/9/2017,Ukraine,Kiew,FZ-K,LU,9/14/2017,,,,,,
46743,VG 30 K 0171.17 V,6/9/2017,Guinea,Conakry,BES,,6/16/2017,,,,,,
46742,VG 30 K 0175.17 V,6/9/2017,Ukraine,Kiew,EWT,EWTunse,4/26/2019,,,,,,
46741,VG 06 K 0457.17 V,6/9/2017,Äthiopien,Addis Abeba,FZ-K,TER,6/18/2018,,,,,,
46740,VG 30 K 0180.17 V,6/9/2017,Syrien,Beirut,FZ-E,,11/29/2018,,,,,,
46739,VG 07 K 0323.17 V,6/9/2017,Vietnam,Hanoi,FZ-E,SE,3/14/2018,,,,,,
46738,VG 07 K 0324.17 V,6/9/2017,Indien,New Delhi,FZ-E,SE/EU,6/7/2018,OVG 12 N 148.18,8/24/2018,,,,
46737,VG 06 K 0451.17 V,6/9/2017,Libanon,Beirut,BES,,10/26/2017,,,,,,
46736,VG 06 K 0460.17 V,6/9/2017,Eritrea,Addis Abeba,FZ-E,,5/2/2019,,,,,,
46735,VG 06 K 0461.17 V,6/9/2017,Vietnam,Hanoi,FZ-E,SE,3/27/2018,,,,,,
46734,VG 18 L 0374.17 V,6/9/2017,Syrien,Riad,FZ-F,SUB,7/4/2017,,,,,,
46733,VG 23 L 0511.17 V,6/8/2017,Jemen,Amman,BES,,7/11/2017,,,,,,
46732,VG 22 L 0536.17 V,6/8/2017,Syrien,Amman,BES,,10/6/2017,,,,,,
46731,VG 13 K 0295.17 V,6/7/2017,Albanien,Tirana,SON,,8/20/2019,,,,,,
46730,VG 12 K 0192.17 V,6/7/2017,Irak,Erbil,EWT,FZ-E/K,4/18/2018,OVG 03 N 171.18,,,,,
46729,VG 12 L 0191.17 V,6/7/2017,Irak,Erbil,EWT,FZ-E/K,6/14/2017,,,,,,
46728,VG 12 K 0199.17 V,6/7/2017,Sri Lanka,Colombo,FZ-K,,12/4/2018,,,,,,
46727,VG 12 K 0190.17 V,6/7/2017,Tunesien,Tunis,STU,,5/17/2018,,,,,,
46726,VG 07 K 0320.17 V,6/7/2017,Gambia,Dakar,BES,,11/17/2017,,,,,,
46725,VG 11 K 0364.17 V,6/7/2017,Ukraine,Kiew,BES,,7/11/2017,,,,,,
46724,VG 10 K 0682.17 V,6/6/2017,Vietnam,Hanoi,FZ-E,SE,5/9/2019,,,,,,
46723,VG 09 K 0342.17 V,6/6/2017,Syrien,Beirut,FZ-K,,12/5/2017,,,,,,
46722,VG 10 K 0685.17 V,6/6/2017,Tunesien,Tunis,STU,,6/19/2017,,,,,,
46721,VG 13 K 0236.17 V,6/6/2017,Syrien,Riad,BES,,2/25/2019,,,,,,
46720,VG 10 K 0683.17 V,6/6/2017,Irak,Erbil,FZ-F,,1/23/2018,,,,,,
46719,VG 10 K 0678.17 V,6/6/2017,Syrien,Beirut,FZ-F,,2/19/2018,,,,,,
46718,VG 11 K 0367.17 V,6/6/2017,Thailand,Bangkok,BES,,6/7/2017,,,,,,
46717,VG 10 K 0681.17 V,6/6/2017,Saudi-Arabien,Kairo,FZ-E/K,,1/4/2018,,,,,,
46716,VG 14 L 0628.17 V,6/6/2017,Syrien,Beirut,FZ-F,§ 36 I,6/8/2017,,,,,,
46715,VG 10 K 0677.17 V,6/2/2017,Afghanistan,Kabul,BES,,1/15/2018,,,,,,
46714,VG 10 L 0676.17 V,6/2/2017,Afghanistan,Kabul,BES,,6/9/2017,,,,,,
46713,VG 13 K 0239.17 V,6/2/2017,Afghanistan,Kabul,FZ-E/K,Dt,8/9/2018,,,,,,
46712,VG 13 K 0230.17 V,6/2/2017,Russland,Moskau,FZ-K,LU,1/29/2019,OVG 06 N 022.19,5/6/2019,,,,
46711,VG 11 K 0360.17 V,6/2/2017,China,Chengdu,SON,Aufheb Schengenvisa,10/20/2017,OVG 03 B 124.18,12/12/2018,,,,
46711,VG 11 K 0360.17 V,6/2/2017,China,Chengdu,SON,Aufheb Schengenvisa,10/20/2017,OVG 03 B 124.18,,,,,
46710,VG 13 K 0238.17 V,6/2/2017,Pakistan,Islamabad,BES,,,,,,,,
46709,VG 11 L 0359.17 V,6/2/2017,China,Chengdu,FZ-F,§ 36 II,7/11/2017,OVG 03 B 124.18,,,,,
46709,VG 11 L 0359.17 V,6/2/2017,China,Chengdu,FZ-F,§ 36 II,10/20/2017,OVG 03 B 124.18,,,,,
46708,VG 10 K 0680.17 V,6/2/2017,Libanon,Riad,BES,,6/13/2017,,,,,,
46707,VG 11 K 0358.17 V,6/2/2017,China,Chengdu,SON,Aufhebg Schengen,10/20/2017,OVG 03 N 397.17,11/28/2019,,,,
46706,VG 11 L 0357.17 V,6/2/2017,China,Chengdu,FZ-F,§ 36 II,7/11/2017,,,,,,
46705,VG 11 K 0356.17 V,6/2/2017,Afghanistan,Kabul,BES,,3/26/2018,,,,,,
46704,VG 09 K 0338.17 V,6/2/2017,Türkei,Istanbul,BES,,10/4/2017,,,,,,
46703,VG 09 K 0339.17 V,6/2/2017,Kosovo,Pristina,FZ-E,SE,4/13/2018,OVG 12 N 122.18,8/30/2018,,,,
46702,VG 09 K 0357.17 V,6/2/2017,Vietnam,Hanoi,EWT,§ 17,7/6/2018,,,,,,
46701,VG 09 K 0354.17 V,6/2/2017,Ukraine,Kiew,BES,,8/25/2017,,,,,,
46700,VG 09 K 0349.17 V,6/2/2017,Kosovo,Pristina,FZ-E,SE,11/16/2018,,,,,,
46699,VG 09 K 0337.17 V,6/2/2017,Syrien,Beirut,FZ-K,,3/19/2019,,,,,,
46698,VG 10 K 0679.17 V,6/2/2017,Tunesien,Tunis,BES,,12/7/2017,,,,,,
46697,VG 06 K 0464.17 V,6/1/2017,Türkei,Izmir,BES,,1/19/2018,OVG 11 M 026.17,10/6/2017,,,,
46696,VG 06 L 0463.17 V,6/1/2017,Türkei,Izmir,FZ-F,§ 36 II,7/10/2017,,,,,,
46695,VG 10 L 0684.17 V,6/1/2017,Syrien,Beirut,FZ-F,§ 36 I,7/10/2017,,,,,,
46694,VG 06 K 0456.17 V,6/1/2017,Syrien,Ankara,FZ-F,§ 36 I,4/5/2018,,,,,,
46693,VG 06 L 0455.17 V,6/1/2017,Syrien,Ankara,FZ-F,,8/8/2017,,,,,,
46692,VG 13 K 0229.17 V,6/1/2017,Russland,Moskau,FZ-K,LU,1/29/2019,OVG 06 N 022.19,5/6/2019,,,,
46691,VG 11 K 0366.17 V,6/1/2017,Syrien,Beirut,FZ-K,,10/20/2017,,,,,,
46690,VG 11 L 0365.17 V,6/1/2017,Syrien,Beirut,FZ-K,,7/5/2017,,,,,,
46689,VG 08 L 0250.17 V,5/31/2017,Syrien,Beirut,FZ-F,,6/9/2017,,,,,,
46688,VG 07 K 0330.17 V,5/31/2017,Kosovo,Pristina,EWT,§ 26 II BV,11/7/2017,,,,,,
46687,VG 07 K 0329.17 V,5/31/2017,Kosovo,Pristina,EWT,§ 26 II BV,11/7/2017,,,,,,
46686,VG 07 K 0328.17 V,5/31/2017,Türkei,Ankara,BES,,6/7/2017,,,,,,
46685,VG 09 K 0356.17 V,5/30/2017,Syrien,Ankara,FZ-K,,7/28/2017,,,,,,
46684,VG 09 L 0355.17 V,5/30/2017,Syrien,Istanbul,FZ-K,,7/17/2017,,,,,,
46683,VG 11 L 0362.17 V,5/30/2017,Irak,Ankara,FZ-F,,6/1/2017,,,,,,
46682,VG 04 K 0241.17 V,5/30/2017,Pakistan,Islamabad,BES,,10/4/2017,OVG 02 N 074.17,4/27/2018,,,,
46681,VG 07 K 0326.17 V,5/30/2017,Russland,Riga,FZ-E,SE,4/11/2018,,,,,,
46680,VG 07 K 0319.17 V,5/30/2017,Staatenlos,Beirut,FZ-E,,1/29/2018,,,,,,
46679,VG 05 K 0272.17 V,5/29/2017,Serbien,Belgrad,EWT,§ 26 II BV,7/2/2018,,,,,,
46678,VG 05 K 0273.17 V,5/29/2017,Türkei,Ankara,BES,,6/15/2018,,,,,,
46677,VG 05 K 0271.17 V,5/29/2017,Tunesien,Tunis,BES,,6/20/2017,,,,,,
46676,VG 07 K 0322.17 V,5/29/2017,Benin,Cotonou,BES,,8/30/2017,,,,,,
46675,VG 07 K 0321.17 V,5/29/2017,Eritrea,Kampala,FZ-E,,1/29/2019,,,,,,
46674,VG 13 K 0231.17 V,5/29/2017,Türkei,Ankara,FZ-E,,12/17/2018,,,,,,
46673,VG 13 K 0234.17 V,5/29/2017,Irak,Ankara,FZ-K,,12/8/2017,,,,,,
46672,VG 04 K 0248.17 V,5/29/2017,Syrien,Ankara,FZ-E/K,,6/1/2017,,,,,,
46671,VG 05 K 0269.17 V,5/24/2017,Pakistan,Islamabad,BES,,12/15/2017,,,,,,
46670,VG 03 K 0623.17 V,5/24/2017,Syrien,Beirut,FZ-F,,10/12/2017,,,,,,
46669,VG 03 K 0624.17 V,5/24/2017,Nigeria,Lagos,BES,,7/23/2018,,,,,,
46668,VG 05 K 0264.17 V,5/24/2017,Iran,Teheran,BES,,6/7/2017,,,,,,
46667,VG 05 K 0265.17 V,5/24/2017,Kenia,Nairobi,BES,,1/17/2019,,,,,,
46666,VG 02 K 0088.17 V,5/24/2017,Iran,Teheran,BES,,11/9/2017,,,,,,
46665,VG 04 K 0247.17 V,5/24/2017,Kasachstan,Nur-Sultan,BES,,8/20/2018,,,,,,
46664,VG 04 K 0246.17 V,5/24/2017,Vietnam,Hanoi,FZ-E,SE,5/2/2018,OVG 11 N 063.18,7/11/2019,,,,
46663,VG 05 K 0267.17 V,5/24/2017,Philippinen,Manila,SON,,4/8/2019,,,,,,
46662,VG 05 K 0263.17 V,5/24/2017,Ägypten,Kairo,BES,,7/25/2018,,,,,,
46661,VG 05 K 0270.17 V,5/24/2017,Algerien,Algier,SON,,12/30/2017,,,,,,
46660,VG 13 K 0235.17 V,5/24/2017,Albanien,Tirana,EWT,§ 26 II BV,1/3/2018,,,,,,
46659,VG 03 K 0608.17 V,5/24/2017,Irak,Ankara,FZ-K,,4/16/2018,,,,,,
46658,VG 03 L 0607.17 V,5/24/2017,Irak,Ankara,FZ-F,§ 32,12/13/2017,,,,,,
46657,VG 30 L 0176.17 V,5/23/2017,Vietnam,Ho-Chi-Minh-Stadt,FZ-E,,7/19/2017,,,,,,
46656,VG 03 K 0618.17 V,5/23/2017,Bosnien und Herzegowina,Sarajewo,FZ-E,SE,5/7/2018,,,,,,
46655,VG 04 K 0244.17 V,5/23/2017,Nigeria,Lagos,FZ-E/K,,6/29/2017,,,,,,
46654,VG 03 K 0611.17 V,5/23/2017,Kamerun,Jaunde,EWT,Ausbildung,10/12/2017,,,,,,
46653,VG 05 K 0266.17 V,5/23/2017,Marokko,Rabat,BES,,6/2/2017,,,,,,
46652,VG 03 K 0617.17 V,5/23/2017,Syrien,Riad,FZ-E/K,UT,11/8/2018,,,,,,
46651,VG 04 K 0250.17 V,5/23/2017,Syrien,Istanbul,FZ-F,,9/6/2017,,,,,,
46650,VG 03 K 0620.17 V,5/23/2017,Togo,Lomé,BES,,12/12/2017,,,,,,
46649,VG 04 L 0249.17 V,5/23/2017,Syrien,Istanbul,FZ-F,,6/19/2017,,,,,,
46648,VG 19 K 0096.18 V,5/22/2017,Jordanien,Amman,BES,,10/31/2018,,,,,,
46647,VG 01 K 0332.17 V,5/22/2017,Kosovo,Pristina,EWT,§ 26 II BV,3/1/2018,,,,,,
46646,VG 02 K 0087.17 V,5/22/2017,Türkei,Ankara,FZ-E,Alter Ehefrau,8/16/2017,,,,,,
46645,VG 03 K 0610.17 V,5/22/2017,Serbien,Belgrad,EWT,§ 26 II BV,11/16/2018,,,,,,
46644,VG 13 K 0241.17 V,5/22/2017,Vietnam,Ho-Chi-Minh-Stadt,FZ-E,,4/17/2018,,,,,,
46643,VG 04 K 0245.17 V,5/22/2017,Kamerun,Jaunde,EWT,Ausbildung,9/4/2018,,,,,,
46642,VG 02 K 0089.17 V,5/19/2017,Nigeria,Lagos,FZ-E,SE,12/12/2017,,,,,,
46641,VG 02 K 0086.17 V,5/19/2017,Nordmazedonien,Skopje,EWT,§ 26 II BV,3/13/2018,,,,,,
46640,VG 27 K 0334.17 V,5/19/2017,Philippinen,Manila,FZ-K,,11/6/2017,,,,,,
46639,VG 04 K 0243.17 V,5/19/2017,Nigeria,Lagos,BES,,2/19/2018,,,,,,
46638,VG 04 K 0242.17 V,5/19/2017,Türkei,Istanbul,FZ-F,FZ-K,3/23/2018,,,,,,
46637,VG 03 K 0609.17 V,5/19/2017,Türkei,Ankara,BES,,2/16/2018,,,,,,
46636,VG 01 K 0314.17 V,5/18/2017,Kamerun,Jaunde,FZ-E,SE,1/31/2018,,,,,,
46635,VG 01 K 0319.17 V,5/18/2017,Pakistan,Islamabad,BES,,6/6/2018,,,,,,
46634,VG 02 K 0085.17 V,5/18/2017,Kosovo,Pristina,EWT,§ 26 II BV,7/13/2017,,,,,,
46633,VG 24 K 1005.17 V,5/18/2017,Somalia,Rom,FZ-E,,6/14/2018,,,,,,
46633,VG 24 K 1005.17 V,5/18/2017,Somalia,Rom,FZ-E,,1/23/2019,,,,,,
